inst_code,hospital,state,lat,lon
11-01010011,Hospital Sultanah Nora Ismail,Johor,1.837805527,102.9415869
11-01020010,Hospital Sultanah Aminah,Johor,1.463136148,103.7468032
11-02030085,Hospital Sultanah Bahiyah,Kedah,6.149091168,100.4065559
11-03040012,Hospital Raja Perempuan Zainab II,Kelantan,6.125448302,102.2463128
11-14010001,Pusat Darah Negara,W.P. Kuala Lumpur,3.173280168,101.7069171
11-04030005,Hospital Melaka,Melaka,2.217374167,102.2616891
11-05060009,Hospital Tuanku Jaafar,Negeri Sembilan,2.709977349,101.9453237
11-06050013,Hospital Tengku Ampuan Afzan,Pahang,3.800909762,103.3417734
11-06110022,Hospital Sultan Haji Ahmad Shah,Pahang,3.453300959,102.4537439
11-07030013,Hospital Seberang Jaya,Pulau Pinang,5.394363705,100.4075842
11-07050009,Hospital Pulau Pinang,Pulau Pinang,5.417555904,100.3106202
11-08050011,Hospital Raja Permaisuri Bainun,Perak,4.604132976,101.0907771
11-08070022,Hospital Taiping,Perak,4.851211566,100.7374523
11-08080019,Hospital Seri Manjung,Perak,4.185841497,100.6627478
11-12060388,Hospital Queen Elizabeth II,Sabah,5.968147463,116.096077
11-12170028,Hospital Duchess Of Kent,Sabah,5.859199163,118.1036425
11-12210043,Hospital Tawau,Sabah,4.250073577,117.8812042
11-10040013,Hospital Tengku Ampuan Rahimah,Selangor,3.020305789,101.4406719
11-13110018,Hospital Umum Sarawak,Sarawak,1.544930993,110.340032
11-13190029,Hospital Miri,Sarawak,4.37458904,114.0001665
11-13270034,Hospital Sibu,Sarawak,2.296717562,111.8920928
11-11050009,Hospital Sultanah Nur Zahirah,Terengganu,5.324098277,103.1511672
